State,Population
Oklahoma,3959353
Nebraska,1961504
Hawaii,1455271
South Dakota,886667
Tennessee,6910840
Nevada,3104614
New Mexico,2117522
Iowa,3190369
Kansas,2937880
District of Columbia,689545
Texas,29145505
Missouri,6154913
Arkansas,3011524
Michigan,10077331
New Hampshire,1377529
North Carolina,10439388
Ohio,11799448
South Carolina,5118425
Wyoming,576851
California,39538223
North Dakota,779094
Louisiana,4657757
Maryland,6177224
Delaware,989948
Pennsylvania,13002700
Georgia,10711908
Oregon,4237256
Minnesota,5706494
Colorado,5773714
New Jersey,9288994
Kentucky,4505836
Washington,7705281
Maine,1362359
Vermont,643077
Idaho,1839106
Indiana,6785528
Montana,1084225
New York,20201249
Puerto Rico,3285874
Connecticut,3605944
Florida,21538187
Virginia,8631393
Massachusetts,7029917
Illinois,12812508
Mississippi,2961279
Arizona,7151502
Utah,3271616
Wisconsin,5893718
Alabama,5024279
West Virginia,1793716
Rhode Island,1097379
Alaska,733391
